Activity,Description,Date,URL
YouTube,"This is a multi-line
description with
newline breaks in the middle",Nov 18 2025 3:23 PM,https://www.youtube.com/watch?v=example1
YouTube,React Hooks Tutorial,,https://www.youtube.com/watch?v=example2
YouTube Music,"Another long description
spanning multiple
lines with ""escaped quotes"" inside",Nov 18 2025 2:35 PM,https://music.youtube.com/watch?v=example3
YouTube,TypeScript Best Practices,Nov 18 2025 1:18 PM,
YouTube,FastAPI with 特殊 characters 中文 العربية,Nov 17 2025 9:18 PM,https://www.youtube.com/watch?v=example5
YouTube Music,Chill Jazz Playlist,Nov 17 2025 8:55 PM,https://music.youtube.com/watch?v=example6
YouTube,"Description with, commas, inside, quotes",Nov 17 2025 7:05 PM,
YouTube,"Multiple issues:
New lines
And commas, here
And ""quotes"" too",Nov 16 2025 10:53 PM,https://www.youtube.com/watch?v=example8
YouTube Music,,Nov 16 2025 10:50 PM,https://music.youtube.com/watch?v=example9
YouTube,Cloud Architecture Patterns,Nov 16 2025 2:01 PM,https://www.youtube.com/watch?v=example10
YouTube,"Incomplete quote and strange chars !@#$%^&*",Nov 15 2025 1:54 PM,https://www.youtube.com/watch?v=example11
YouTube Music,Indian Classical Music,,
YouTube,"",Nov 14 2025 1:48 PM,https://www.youtube.com/watch?v=example13
YouTube,GraphQL API Design,Nov 14 2025 1:44 PM,https://www.youtube.com/watch?v=example14
YouTube,"Description with, comma
And newline, mixed together",Nov 13 2025 10:53 PM,
YouTube Music,Bollywood Hits,Nov 13 2025 10:50 PM,https://music.youtube.com/watch?v=example16
YouTube,"Very long description that goes on and on and on
with multiple breaks
and special characters: ~!@#$%^&*()_+-={}[]|:;<>?,./ ™®©",Nov 12 2025 2:01 PM,https://www.youtube.com/watch?v=example17
YouTube,Redis Caching Guide,Nov 12 2025 1:54 PM,
YouTube Music,"Music with
quotes inside ""like this""
and newlines",Nov 11 2025 1:51 PM,https://music.youtube.com/watch?v=example19
YouTube,CI/CD Pipeline Setup,,,https://www.youtube.com/watch?v=example20
